,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,aitape,80,PG,1542087091,98,-3.15,142.36,300.695,1.46
1,tilichiki,12,RU,1542087091,77,60.47,166.1,248.82,1.46
2,norman wells,90,CA,1542081600,92,65.28,-126.83,263.15,5.16
3,rikitea,68,PF,1542087092,100,-23.12,-134.97,296.145,4.64
4,esperance,20,TT,1542085200,88,10.24,-61.45,299.15,3.26
5,college,90,US,1542085080,78,64.86,-147.8,269.45,2.61
6,hermanus,8,ZA,1542087093,71,-34.42,19.24,290.145,1.84
7,tra vinh,92,VN,1542087093,69,9.93,106.35,304.42,3.94
8,bambous virieux,75,MU,1542085200,74,-20.34,57.76,300.15,5.7
9,storslett,75,NO,1542084600,93,69.77,21.03,276.15,0.5
10,constantine,0,DZ,1542085200,93,36.36,6.61,281.15,0.99
11,saskylakh,24,RU,1542087095,70,71.97,114.09,242.32,2.51
12,nanortalik,80,GL,1542087095,85,60.14,-45.24,275.62,12.34
13,barrow,88,AR,1542087096,98,-38.31,-60.23,291.645,0.66
14,tanout,0,NE,1542087096,31,14.97,8.88,287.445,2.16
15,mataura,0,NZ,1542087096,64,-46.19,168.86,288.87,3.99
16,sambava,8,MG,1542087097,100,-14.27,50.17,298.795,7.69
17,port lincoln,0,AU,1542086974,82,-34.72,135.86,291.545,5.29
18,san patricio,8,PY,1542087098,62,-26.98,-56.83,300.545,2.81
19,thompson,90,CA,1542082140,84,55.74,-97.86,256.15,2.1
20,tautira,40,PF,1542085200,74,-17.73,-149.15,300.15,2.6
21,upington,0,ZA,1542085200,12,-28.46,21.24,296.15,1.0
22,tasiilaq,88,GL,1542084600,68,65.61,-37.64,272.15,4.6
23,hamilton,20,BM,1542084900,64,32.3,-64.78,294.15,7.7
24,mao,40,DO,1542081600,100,19.55,-71.08,295.15,3.96
25,khatanga,12,RU,1542087100,56,71.98,102.47,244.67,2.64
26,balakhta,56,RU,1542087101,95,55.38,91.62,260.72,5.56
27,jamestown,32,AU,1542087101,41,-33.21,138.6,297.62,2.36
28,srednekolymsk,0,RU,1542087102,67,67.46,153.71,242.82,1.26
29,iquique,75,CL,1542085200,77,-20.22,-70.14,291.15,4.6
